time,usdc,dai,usdt,usdc_p,dai_p,usdt_p,ideal
2021-01-07T00:00:00+00:00,97377529.406754000000000000000000,76228733.088911893904501611000000000000000000,80476424.418227000000000000000000,0.38325133675776446,0.30001545565654913,0.3167332075856864,0.33
2021-01-06T00:00:00+00:00,109924814.916329000000000000000000,75535189.154126611329889611000000000000000000,69116726.105597000000000000000000,0.43179443321591277,0.2967089297670303,0.27149663701705695,0.33
2021-01-05T00:00:00+00:00,105491538.571280000000000000000000,77463143.215700153450309811000000000000000000,69827838.000763000000000000000000,0.417321334797435,0.3064418508081355,0.2762368143944295,0.33
2021-01-04T00:00:00+00:00,82828507.359229000000000000000000,65726800.239769485767190011000000000000000000,64960862.437022000000000000000000,0.3879261572800585,0.30783055086029915,0.30424329185964233,0.33
2021-01-03T00:00:00+00:00,82280684.117186000000000000000000,51610647.844371652193455411000000000000000000,73960369.899380000000000000000000,0.39586245087488175,0.24830514921115032,0.3558323999139679,0.33
2021-01-02T00:00:00+00:00,73662009.920187000000000000000000,66631548.264929520383940889000000000000000000,65611954.701444000000000000000000,0.35774666198845095,0.32360254628849505,0.31865079172305394,0.33
2021-01-01T00:00:00+00:00,94037367.540252000000000000000000,43305820.481892977872089589000000000000000000,67761478.624435000000000000000000,0.4584847779318922,0.21114010319674548,0.3303751188713623,0.33
2020-12-31T00:00:00+00:00,77892558.409760000000000000000000,44818073.113975164834189525000000000000000000,83085700.937850000000000000000000,0.37849342346419007,0.21777877466470935,0.4037278018711006,0.33
2020-12-30T00:00:00+00:00,75337276.240588000000000000000000,44353845.074710618392349105000000000000000000,84182766.215703000000000000000000,0.369528815842745,0.2175553015241643,0.4129158826330907,0.33
2020-12-29T00:00:00+00:00,86000595.060285000000000000000000,55155494.662058940320813805000000000000000000,117626847.648089000000000000000000,0.3323271461950371,0.21313420128278013,0.45453865252218273,0.33
2020-12-28T00:00:00+00:00,87065019.322131000000000000000000,59283191.787046454085605459000000000000000000,120542547.309748000000000000000000,0.3262196856792968,0.22212530751624043,0.45165500680446274,0.33
2020-12-27T00:00:00+00:00,90690164.509887000000000000000000,60325721.693459154805341159000000000000000000,115738673.450426000000000000000000,0.3399760612436997,0.22614691861971362,0.43387702013658663,0.33
2020-12-26T00:00:00+00:00,95261515.176861000000000000000000,62397862.216214028043093059000000000000000000,117503641.074721000000000000000000,0.34620028413451215,0.2267668910003501,0.4270328248651377,0.33
2020-12-25T00:00:00+00:00,94632697.221828000000000000000000,64954452.607478813754809187000000000000000000,113961908.682371000000000000000000,0.34594415252863364,0.23745083591543747,0.4166050115559289,0.33
2020-12-24T00:00:00+00:00,97164475.819211000000000000000000,66856882.551417388674889487000000000000000000,117061373.858854000000000000000000,0.3456792775867985,0.23785481954414012,0.4164659028690614,0.33
2020-12-23T00:00:00+00:00,93265317.798071000000000000000000,70797595.383856086212623387000000000000000000,122652163.868634000000000000000000,0.32528919915022125,0.24692665663819,0.4277841442115887,0.33
2020-12-22T00:00:00+00:00,85530361.012927000000000000000000,71282824.064266120975568947000000000000000000,134591883.337879000000000000000000,0.29351020377963744,0.24461765353625267,0.4618721426841099,0.33
2020-12-21T00:00:00+00:00,105520047.634613000000000000000000,82933203.205506756465749722000000000000000000,106294753.933784000000000000000000,0.35800088864233587,0.2813698544596542,0.36062925689800995,0.33
2020-12-20T00:00:00+00:00,110259727.081839000000000000000000,77810606.825014093746526199000000000000000000,107382732.758397000000000000000000,0.37318863644344524,0.26336029509950537,0.36345106845704944,0.33
2020-12-19T00:00:00+00:00,113152349.183413000000000000000000,74828996.596598729262882385000000000000000000,103764615.043427000000000000000000,0.3878454696135159,0.2564868297932816,0.3556677005932025,0.33
2020-12-18T00:00:00+00:00,106038222.612631000000000000000000,75062072.613714632303188384000000000000000000,107210460.136613000000000000000000,0.36779142172180823,0.2603512745100955,0.3718573037680963,0.33
2020-12-17T00:00:00+00:00,115439635.426759000000000000000000,80929722.266688330449605199000000000000000000,110343174.663501000000000000000000,0.376377302028245,0.2638618045528811,0.3597608934188739,0.33
2020-12-16T00:00:00+00:00,127672303.369015000000000000000000,82148755.755327906878683653000000000000000000,118740368.788563000000000000000000,0.3885797069364393,0.25002556227355954,0.3613947307900012,0.33
