time,cvxcrv,crv,cvxcrv_p,crv_p,ideal
2021-12-17T00:00:00+00:00,36511732.040464207942543170000000000000000000,23914096.712955872011623501000000000000000000,0.6042404844699405,0.39575951553005956,0.50
2021-12-16T00:00:00+00:00,37760344.336396419694457693000000000000000000,23242780.278805121567903890000000000000000000,0.6189903316360096,0.3810096683639905,0.50
2021-12-15T00:00:00+00:00,36710126.717443508327374614000000000000000000,24212491.299468154228422997000000000000000000,0.6025697501583575,0.39743024984164255,0.50
2021-12-14T00:00:00+00:00,36625262.618801466011669114000000000000000000,23986794.572066484131768697000000000000000000,0.6042570458129835,0.3957429541870166,0.50
2021-12-13T00:00:00+00:00,36695037.035060677604675114000000000000000000,24136377.968272636266408297000000000000000000,0.6032251104638934,0.3967748895361066,0.50
2021-12-12T00:00:00+00:00,36560541.189177448584944914000000000000000000,24600489.274498634280628297000000000000000000,0.5977751014331092,0.40222489856689086,0.50
2021-12-11T00:00:00+00:00,36666990.335021348473738714000000000000000000,24018340.338969154818917112000000000000000000,0.6042150537499943,0.3957849462500057,0.50
2021-12-10T00:00:00+00:00,36639723.594843475587712514000000000000000000,23031498.551452505308154212000000000000000000,0.6140266995875137,0.38597330041248634,0.50
2021-12-09T00:00:00+00:00,36546707.305784016820199014000000000000000000,23626906.563033321482857391000000000000000000,0.607354369399491,0.39264563060050905,0.50
2021-12-08T00:00:00+00:00,36928830.356369227190758714000000000000000000,22759482.687506398861005091000000000000000000,0.6186944893085455,0.38130551069145446,0.50
2021-12-07T00:00:00+00:00,36764044.686168738827241514000000000000000000,21749630.336472480084479824000000000000000000,0.6282983366186331,0.37170166338136684,0.50
2021-12-06T00:00:00+00:00,36857454.729696276735724314000000000000000000,18924499.038254587374819433000000000000000000,0.6607415524207126,0.3392584475792873,0.50
2021-12-05T00:00:00+00:00,36582129.038199781257728114000000000000000000,18756384.271477779157108033000000000000000000,0.6610609293654863,0.3389390706345137,0.50
2021-12-04T00:00:00+00:00,36514149.265615703979360114000000000000000000,13240508.977870651578310633000000000000000000,0.7338840332683013,0.2661159667316987,0.50
2021-12-03T00:00:00+00:00,37043990.161802772418133114000000000000000000,12752370.094146358894778133000000000000000000,0.7439095944241659,0.2560904055758341,0.50
2021-12-02T00:00:00+00:00,36574889.316081508643827814000000000000000000,12923444.725047933616204133000000000000000000,0.7389115214603079,0.2610884785396921,0.50
2021-12-01T00:00:00+00:00,36392595.523027056103941114000000000000000000,12669545.487100953164670411000000000000000000,0.7417653362399014,0.2582346637600986,0.50
2021-11-30T00:00:00+00:00,36678042.614963881385325414000000000000000000,12148687.851809316399092811000000000000000000,0.7511877667074892,0.2488122332925108,0.50
2021-11-29T00:00:00+00:00,35636803.388946736300588014000000000000000000,10469742.206948037732534311000000000000000000,0.7729228665554108,0.22707713344458927,0.50
2021-11-28T00:00:00+00:00,35239459.000391298786107114000000000000000000,9539284.811064067191553037000000000000000000,0.786968458712687,0.21303154128731305,0.50
2021-11-27T00:00:00+00:00,34739411.665495451115461414000000000000000000,7884032.776912128281462337000000000000000000,0.8150306039305443,0.1849693960694557,0.50
2021-11-26T00:00:00+00:00,34991029.362056476183750014000000000000000000,7650141.386011567284871664000000000000000000,0.8205926044758475,0.17940739552415255,0.50
2021-11-25T00:00:00+00:00,35339710.492388694040487714000000000000000000,6739936.368536984058981464000000000000000000,0.8398290653243206,0.1601709346756794,0.50
2021-11-24T00:00:00+00:00,38222138.173983637776772214000000000000000000,14919970.068373161681869179000000000000000000,0.7192439185827928,0.28075608141720715,0.50
2021-11-23T00:00:00+00:00,36431667.259418491021416078000000000000000000,19717702.026434171854043784000000000000000000,0.6488348439667652,0.3511651560332348,0.50
2021-11-22T00:00:00+00:00,36411223.719871347904519978000000000000000000,20208743.952561611368773484000000000000000000,0.6430809697830185,0.35691903021698146,0.50
2021-11-21T00:00:00+00:00,36030141.193757040084833278000000000000000000,20843221.344095582206127184000000000000000000,0.6335152272696524,0.3664847727303476,0.50
2021-11-20T00:00:00+00:00,36000690.872249538388321878000000000000000000,20855263.714842303885020432000000000000000000,0.6331912133689312,0.3668087866310687,0.50
2021-11-19T00:00:00+00:00,35770606.587081100819106578000000000000000000,20977243.808473817088098832000000000000000000,0.6303429352432885,0.36965706475671145,0.50
2021-11-18T00:00:00+00:00,35694480.584836744602317278000000000000000000,20919762.254359983188247532000000000000000000,0.6304858776654655,0.3695141223345345,0.50
2021-11-17T00:00:00+00:00,35518713.168522768901351978000000000000000000,20781923.971917742149489586000000000000000000,0.6308758652219555,0.3691241347780445,0.50
2021-11-16T00:00:00+00:00,35682919.048517233996626678000000000000000000,20358553.407919275491746586000000000000000000,0.6367234386329719,0.36327656136702813,0.50
2021-11-15T00:00:00+00:00,35254653.954288258762607478000000000000000000,20588669.907736227830708586000000000000000000,0.6313136739746024,0.36868632602539764,0.50
2021-11-14T00:00:00+00:00,34824448.761921445960213078000000000000000000,20904895.078668006062141986000000000000000000,0.6248853182541455,0.37511468174585444,0.50
2021-11-13T00:00:00+00:00,34416306.656114257094809549000000000000000000,20850269.052638820019021870000000000000000000,0.6227327496728449,0.3772672503271552,0.50
2021-11-12T00:00:00+00:00,34505294.538411676569055549000000000000000000,19219654.194269665508414470000000000000000000,0.6422583055425386,0.3577416944574614,0.50
2021-11-11T00:00:00+00:00,33879198.234191135964667849000000000000000000,18573249.454518936057736770000000000000000000,0.6459030936983964,0.3540969063016036,0.50
2021-11-10T00:00:00+00:00,33755293.384021499608352049000000000000000000,17941678.016429960633232970000000000000000000,0.6529452784099983,0.34705472159000167,0.50
2021-11-09T00:00:00+00:00,33349511.046142940991498049000000000000000000,18327737.369876588618962470000000000000000000,0.6453422360584675,0.3546577639415325,0.50
2021-11-08T00:00:00+00:00,33671514.589818141749117449000000000000000000,17903683.845860851034057513000000000000000000,0.6528625310440815,0.34713746895591846,0.50
2021-11-07T00:00:00+00:00,33654927.678309724269115540000000000000000000,18078016.279255403557567993000000000000000000,0.6505511788758007,0.3494488211241993,0.50
2021-11-06T00:00:00+00:00,33880280.257328025442532840000000000000000000,17775906.376013476045792753000000000000000000,0.6558803981759658,0.3441196018240342,0.50
2021-11-05T00:00:00+00:00,34152755.403133399825706040000000000000000000,17153891.564449171991067253000000000000000000,0.6656594695169296,0.3343405304830704,0.50
2021-11-04T00:00:00+00:00,34242973.434814791398022340000000000000000000,17154158.349373218009989853000000000000000000,0.666242886443508,0.3337571135564919,0.50
2021-11-03T00:00:00+00:00,34141728.571442680758400140000000000000000000,16530461.247394143582981353000000000000000000,0.6737764579250702,0.32622354207492976,0.50
2021-11-02T00:00:00+00:00,34597249.548247542629971740000000000000000000,15995375.366943642226504453000000000000000000,0.683839781119149,0.31616021888085105,0.50
2021-11-01T00:00:00+00:00,34889693.540408609506145240000000000000000000,15209228.850675700107994942000000000000000000,0.6964160479950291,0.3035839520049709,0.50
