date,pool_name,ideal,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,alusd,crv3,alusd_p,crv3_p,cvxcrv,crv,cvxcrv_p,crv_p,usdc,dai,usdt,usdc_p,dai_p,usdt_p,fei,fei_p,frax,frax_p,total,lusd,lusd_p,mim,mim_p,ust,ust_p,wbtc,renbtc,wbtc_p,renbtc_p,sbtc,sbtc_p,susd,susd_p,wust,protocol,chain
2020-06-19,renbtc:wbtc:sbtc,0.33,renbtc,152.63534868,wbtc,168.70274744,sbtc,214.1346729796314,,,,,,,,,,,,,,,,,,,,,,,,,,168.70274744,152.63534868,0.3150538312595514,0.2850478259364115,214.1346729796314,0.3998983428040371,,,,Curve,Ethereum
2020-06-20,renbtc:wbtc:sbtc,0.33,renbtc,260.90849873,wbtc,203.35021005,sbtc,254.42579539031885,,,,,,,,,,,,,,,,,,,,,,,,,,203.35021005,260.90849873,0.2829478148895898,0.3630362102091018,254.42579539031885,0.3540159749013084,,,,Curve,Ethereum
2020-06-20,renbtc:wbtc,0.5,renbtc,84.48935208,wbtc,67.40480483,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,67.40480483,84.48935208,0.4437616706344968,0.5562383293655032,,,,,,Curve,Ethereum
2020-06-20,susd:usdc-usdt-dai,0.5,susd,4044582.8692892776,crv3,1366860.4947692775,n/a,0,,1366860.4947692775,,0.252587046156229,,,,,,,,,,,,,,,,,,,,,,,,,,,,4044582.8692892776,0.7474129538437709,,Curve,Ethereum
2020-06-21,susd:usdc-usdt-dai,0.5,susd,3980273.9047379694,crv3,1630823.7043214515,n/a,0,,1630823.7043214515,,0.2906425476698887,,,,,,,,,,,,,,,,,,,,,,,,,,,,3980273.9047379694,0.7093574523301113,,Curve,Ethereum
2020-06-21,renbtc:wbtc:sbtc,0.33,renbtc,277.63704382,wbtc,189.63934666,sbtc,297.240490835128,,,,,,,,,,,,,,,,,,,,,,,,,,189.63934666,277.63704382,0.2480512220132809,0.3631535818311906,297.240490835128,0.3887951961555284,,,,Curve,Ethereum
2020-06-21,renbtc:wbtc,0.5,renbtc,94.4364842,wbtc,61.63871485,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,61.63871485,94.4364842,0.3949295930755374,0.6050704069244626,,,,,,Curve,Ethereum
2020-06-22,renbtc:wbtc:sbtc,0.33,renbtc,397.92810556,wbtc,212.25224876,sbtc,323.69616878878685,,,,,,,,,,,,,,,,,,,,,,,,,,212.25224876,397.92810556,0.2272808487073133,0.4261035540708689,323.69616878878685,0.3466155972218178,,,,Curve,Ethereum
2020-06-22,renbtc:wbtc,0.5,renbtc,102.16708784,wbtc,49.86459668,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,49.86459668,102.16708784,0.3279881877085973,0.6720118122914027,,,,,,Curve,Ethereum
2020-06-22,susd:usdc-usdt-dai,0.5,susd,3430419.7464111997,crv3,1870060.975595456,n/a,0,,1870060.975595456,,0.3528096928701759,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430419.7464111997,0.6471903071298242,,Curve,Ethereum
2020-06-23,renbtc:wbtc,0.5,renbtc,139.7717676,wbtc,83.88509492,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,83.88509492,139.7717676,0.375061574122273,0.624938425877727,,,,,,Curve,Ethereum
2020-06-23,susd:usdc-usdt-dai,0.5,susd,3492376.9449651223,crv3,2208255.6718206774,n/a,0,,2208255.6718206774,,0.3873702833117779,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492376.9449651223,0.6126297166882221,,Curve,Ethereum
2020-06-23,renbtc:wbtc:sbtc,0.33,renbtc,466.03452317,wbtc,256.51565125,sbtc,320.18778108526374,,,,,,,,,,,,,,,,,,,,,,,,,,256.51565125,466.03452317,0.2460020275426764,0.4469334991687156,320.18778108526374,0.307064473288608,,,,Curve,Ethereum
