date,pool_name,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,token_4,token_4_balance,TVL,chain,protocol,protocol_version,daily_revenue
2021-11-18,av3CRV:WETH:BTC,av3CRV,35026346.1,WETH,36798038.24,BTC,73310653.46,n/a,0,145135037.8,Avalanche,Curve,V2,n/a
2021-11-18,MIM:USDC.e:USDT.e,MIM,44739414.4,USDC.e,59666823.24,USDT.e,60212773.93,n/a,0,164619011.57,Avalanche,Curve,V2,n/a
2021-11-18,avDAI:avUSDC:avUSDT,avDAI,224804696.4,avUSDC,245617144.8,avUSDT,196172203.9,n/a,0,666594045.1,Avalanche,Curve,V2,n/a
2021-11-19,MIM:USDC.e:USDT.e,MIM,45601412.74,USDC.e,61420507.35,USDT.e,56811253.1,n/a,0,163833173.19,Avalanche,Curve,V2,n/a
2021-11-19,av3CRV:BTC:WETH,av3CRV,37092193.58,BTC,1277.705493,WETH,8639.829418,n/a,0,37102111.114911005,Avalanche,Curve,V2,n/a
2021-11-19,av3CRV:MIM,av3CRV,3.8e-10,MIM,204444.5893,n/a,0.0,n/a,0,204444.58930000037,Avalanche,Curve,V2,n/a
2021-11-19,avDAI:avUSDC:avUSDT,avDAI,219793683.9,avUSDC,251374104.3,avUSDT,200091580.0,n/a,0,671259368.2,Avalanche,Curve,V2,n/a
2021-11-19,av3CRV:WETH:BTC,av3CRV,37092193.58,WETH,35622283.69,BTC,73177369.73,n/a,0,145891847.0,Avalanche,Curve,V2,n/a
2021-11-20,av3CRV:BTC:WETH,av3CRV,38665171.27,BTC,1296.810147,WETH,8795.174335,n/a,0,38675263.25448201,Avalanche,Curve,V2,n/a
2021-11-20,MIM:USDC.e:USDT.e,MIM,51029145.21,USDC.e,59868847.4,USDT.e,56574937.57,n/a,0,167472930.18,Avalanche,Curve,V2,n/a
2021-11-20,av3CRV:MIM,av3CRV,7.49e-10,MIM,327110.4155,n/a,0.0,n/a,0,327110.41550000076,Avalanche,Curve,V2,n/a
